Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
IG c196_light_IGKV3-15_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28872.28587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59066.60289,NA
IG c198_heavy_IGHV4-61_IGHD2-2_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c198_heavy_IGHV5-51_IGHD7-27_IGHJ6,NA,58153.9349,NA,NA,NA,NA,166900.9711,NA,49989.52435,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,75739.27011,NA,NA,92447.99025,182100.7687,NA,NA
IG c198_light_IGKV3-15_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28872.28587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c199_heavy_IGHV4-59B_IGHD3-9_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c19_heavy_IGHV1-2_IGHD5-12_IGHJ5,NA,NA,NA,NA,NA,NA,NA,44171.16708,NA,NA,NA,NA,NA,NA,NA,56157.20433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c201_heavy_IGHV4-59_IGHD1-7_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c203_heavy_IGHV1-18_IGHD2-15_IGHJ6,NA,NA,NA,NA,NA,NA,NA,44856.66346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c205_heavy_IGHV5-51_IGHD5-24_IGHJ4,NA,NA,NA,69068.83289,NA,100252.8577,NA,NA,NA,63348.12359,137813.4612,NA,114633.591,NA,20508.22203,NA,34135.51889,NA,100227.1882,NA,79352.51182,NA,NA,NA,NA,NA,NA,NA,NA,106024.6257
IG c208_light_IGKV2D-28_IGKJ5,1114.138441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c20_heavy_IGHV4-39_IGHD3-3_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613.901204,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c210_heavy_IGHV4-61_IGHD6-13_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c212_light_IGLV1-44_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.18889198,NA,NA,826.5511585
IG c214_light_IGLV2-14_IGLJ2,NA,NA,3029.785685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c219_heavy_IGHV2-26_IGHD5-12_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7757679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c226_light_IGLV3-19_IGLJ2,11169.28768,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972.4232,NA,NA,NA,NA,NA
IG c227_light_IGLV3-25_IGLJ3,NA,NA,NA,NA,NA,27059.33532,NA,52700.28583,NA,57943.29601,NA,NA,NA,NA,18262.87826,NA,NA,NA,NA,42130.76,17934.71019,NA,NA,21793.91219,NA,NA,33829.16229,NA,19933.77799,23877.1493
IG c228_light_IGLV3-19_IGLJ3,NA,NA,NA,NA,NA,12052.04992,NA,NA,NA,NA,NA,9639.285701,NA,NA,NA,NA,NA,NA,NA,19753.4,NA,NA,NA,NA,18972.4232,NA,NA,NA,20875.17012,NA
IG c22_light_IGKV4-1_IGKJ3,NA,NA,128189.7286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c230_light_IGKV1D-39_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50857.66182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c231_heavy_IGHV5-51_IGHD6-19_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c233_heavy_IGHV3-49_IGHD3-22_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29531.44651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c235_heavy_IGHV4-31_IGHD3-10_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c235_light_IGLV4-69_IGLJ2,NA,NA,NA,NA,NA,338.0628539,NA,NA,NA,NA,NA,NA,824.5873362,NA,NA,NA,NA,NA,NA,1575.03,NA,NA,85.46379455,404.3226851,NA,NA,942.6834576,36.80427139,352.4897492,433.9698498
IG c236_heavy_IGHV5-51_IGHD3-22_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,63348.12359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c240_heavy_IGHV4-59B_IGHD3-3_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c240_light_IGLV1-47_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,35394.27369,NA,NA,NA,NA,NA
IG c240_light_IGLV2-14_IGLJ2,NA,NA,3029.785685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c243_light_IGLV1-44_IGLJ3,NA,36195.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42204.31335,NA,NA,NA,NA,28246.69898,NA,61516.05,NA,NA,NA,NA,25563.51935,NA,NA,21006.73921,45057.46828,22349.90214
IG c243_light_IGLV2-14_IGLJ2,NA,NA,3029.785685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c244_light_IGLV2-14_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c246_light_IGLV2-14_IGLJ3,NA,NA,3029.785685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c247_heavy_IGHV4-61_IGHD3-10_IGHJ4,NA,NA,NA,8728.038151,NA,NA,NA,NA,NA,NA,18309.7239,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c249_heavy_IGHV4-59B_IGHD5-12_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c251_heavy_IGHV4-4_IGHD2-2_IGHJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c253_heavy_IGHV5-51_IGHD3-10_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c253_light_IGKV1-27_IGKJ1,NA,22617.78284,NA,NA,56492.23219,NA,NA,NA,44422.00937,NA,NA,NA,NA,NA,NA,57314.9961,116571.4537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c256_light_IGKV4-1_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,65385.30445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c257_heavy_IGHV1-8_IGHD7-27_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,969.737486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c258_light_IGKV1D-39_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,39843.75676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c260_light_IGKV4-1_IGKJ4,NA,NA,128189.7286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c265_light_IGKV1D-33_IGKJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6965.135095,NA,NA,NA,NA,NA,NA,127473.1881,NA,NA,48345.76936,NA,NA,NA,NA,NA
IG c266_heavy_IGHV4-39_IGHD2-2_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613.901204,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c266_light_IGLV1-40_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29118.42635,NA,NA,NA,NA
IG c267_heavy_IGHV2-70_IGHD3-3_IGHJ6,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c269_light_IGLV2-11_IGLJ1,NA,NA,NA,NA,NA,NA,NA,32357.21182,NA,NA,NA,9370.267415,NA,NA,15261.47477,NA,60902.40437,NA,6849.930075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c270_heavy_IGHV4-59_IGHD3-22_IGHJ1,NA,NA,NA,NA,NA,7622.117269,NA,1419.626356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c272_heavy_IGHV4-59B_IGHD5-18_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c274_light_IGLV2-14_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c27_heavy_IGHV1-69_IGHD3-22_IGHJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117200.8,NA,NA,NA,NA,88884.46169,NA,NA,NA,NA,NA,NA
IG c27_heavy_IGHV3-48_IGHD4-23_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,34835.28046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c282_light_IGLV1-51_IGLJ1,NA,NA,NA,NA,NA,28651.28726,NA,NA,NA,NA,NA,NA,NA,53162.37402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c283_light_IGKV2D-29_IGKJ1,NA,NA,NA,7394.565352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c286_light_IGKV3-15_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28872.28587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59066.60289,NA
IG c288_heavy_IGHV1-69_IGHD3-22_IGHJ4,NA,NA,NA,NA,NA,NA,2488.060182,NA,NA,NA,2863.428907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1816.497079
IG c288_heavy_IGHV1-8_IGHD3-16_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26676.49758,NA,6590.282728,NA,NA,NA,NA,NA
IG c288_light_IGLV1-40_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46099.52423,NA
IG c290_light_IGKV4-1_IGKJ3,NA,NA,NA,8677.029513,NA,NA,NA,NA,NA,NA,8046.574046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c290_light_IGLV3-25_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15071.51862,NA,NA,NA,NA,NA,NA
IG c291_light_IGLV1-40_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46099.52423,NA
IG c294_light_IGKV1-12_IGKJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14104.6056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c295_light_IGKV2D-29_IGKJ1,NA,NA,NA,7394.565352,17550.59594,NA,NA,14295.06612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c296_heavy_IGHV4-4_IGHD3-22_IGHJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c297_heavy_IGHV4-39_IGHD3-3_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069.029117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c297_light_IGLV2-14_IGLJ2,NA,NA,3029.785685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c298_light_IGLV1-51_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33445.88949,NA,10972.44289,NA,NA,NA,NA,NA
IG c299_heavy_IGHV2-26_IGHD3-22_IGHJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7757679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c2_light_IGKV4-1_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,2868.904547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c301_heavy_IGHV4-4_IGHD2-15_IGHJ6,NA,NA,NA,8728.038151,NA,NA,NA,NA,NA,NA,18309.7239,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c301_light_IGLV6-57_IGLJ2,NA,NA,38711.69784,NA,NA,7366.027624,NA,NA,NA,NA,20508.22203,8275.932807,8535.474848,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c304_light_IGKV4-1_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71585.67713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c307_light_IGLV1-51_IGLJ1 (IGH + IGL c96_light_IGLV1-51_IGLJ1) (IGL c1824_light_IGLV1-51_IGLJ1),NA,NA,NA,NA,NA,28651.28726,NA,NA,NA,NA,NA,NA,NA,53162.37402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c309_heavy_IGHV5-51_IGHD3-9_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c310_light_IGLV1-47_IGLJ2 (IG c444_light_IGLV1-47_IGLJ2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,35394.27369,NA,NA,NA,NA,NA
IG c311_light_IGLV2-14_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c315_light_IGLV2-11_IGLJ1,NA,5710.764492,NA,NA,NA,NA,NA,NA,NA,4551.485612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9142.565242,NA,NA,NA
IG c316_light_IGKV3D-15_IGKJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7638.933968,NA,NA,NA,NA,NA,NA,7196.725127,14712.6881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c317_heavy_IGHV4-4_IGHD3-9_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c320_heavy_IGHV4-61_IGHD2-2_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c324_light_IGLV1-51_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33445.88949,NA,10972.44289,NA,NA,NA,NA,NA
IG c326_light_IGKV1D-13_IGKJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339.375902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c327_heavy_IGHV1-69_IGHD6-25_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186882.7978,NA,NA,NA,NA,NA,NA,NA,81379.60624,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c328_light_IGKV4-1_IGKJ2,NA,NA,128189.7286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c330_light_IGKV2D-28_IGKJ5,NA,NA,NA,NA,NA,128884.4126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c332_heavy_IGHV2-26_IGHD1-26_IGHJ4,NA,NA,1872.536309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7757679,NA,NA,318.4106443,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c332_light_IGKV3-15_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28872.28587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c332_light_IGLV3-25_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8684.030931,NA,NA,NA,NA,NA,NA,10003.65595,NA,8647.5203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c334_light_IGLV2-14_IGLJ1,NA,NA,17625.14528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c345_heavy_IGHV4-61_IGHD1-26_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c345_light_IGLV1-51_IGLJ1,NA,NA,NA,NA,NA,28651.28726,NA,NA,NA,NA,NA,NA,NA,53162.37402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c347_light_IGLV6-57_IGLJ2,NA,NA,NA,NA,NA,7366.027624,NA,NA,NA,NA,20508.22203,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c348_heavy_IGHV3-49_IGHD3-9_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29531.44651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c34_light_IGKV6-21_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159.155778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c350_heavy_IGHV4-31_IGHD6-6_IGHJ4,NA,NA,NA,NA,NA,NA,NA,1419.626356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c352_light_IGLV2-14_IGLJ1 (IGL c2896_light_IGLV2-14_IGLJ1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c354_heavy_IGHV5-51_IGHD6-19_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c356_heavy_IGHV2-5_IGHD4-17_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IG c35_light_IGLV2-23_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.4111337,NA,NA,NA,NA,NA,NA,NA,NA
IG c360_light_IGLV1-40_IGLJ2 (IG c816_light_IGLV1-40_IGLJ2),NA,NA,107355.9645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123802.0942,NA,NA,NA,NA,NA,NA,NA
IG c362_light_IGKV1-5_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5856.919139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c365_light_IGLV1-47_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,35394.27369,NA,NA,NA,NA,NA
IG c368_heavy_IGHV1-18_IGHD6-19_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308256.97,NA,NA,NA,NA,NA,111346.2475,114395.5546,NA,107598.1797,NA
IG c370_light_IGLV4-69_IGLJ3,NA,NA,NA,NA,NA,338.0628539,NA,NA,NA,NA,NA,NA,824.5873362,NA,NA,NA,NA,NA,NA,1575.03,NA,NA,85.46379455,404.3226851,NA,NA,942.6834576,36.80427139,352.4897492,433.9698498
IG c371_heavy_IGHV4-61_IGHD2-15_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c373_heavy_IGHV1-69_IGHD1-26_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117200.8,NA,NA,NA,NA,88884.46169,NA,NA,NA,NA,NA,NA
IG c373_light_IGLV1-36_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.18889198,NA,NA,826.5511585
IG c375_heavy_IGHV4-4_IGHD4-17_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c375_light_IGKV4-1_IGKJ3 (IG c446_light_IGKV4-1_IGKJ3),NA,6684.859535,NA,NA,NA,NA,20508.22203,NA,2868.904547,5303.315317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c377_heavy_IGHV4-4_IGHD5-24_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c37_light_IGKV4-1_IGKJ4,NA,NA,128189.7286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c381_heavy_IGHV4-39_IGHD3-3_IGHJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG c381_light_IGKV3-15_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28872.28587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
