Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
"Actin gamma 2, smooth muscle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564.094586,NA,444.4399747,972.5360804,NA,NA,NA,NA,335.5095608,NA,NA,NA,NA,NA,NA,NA,NA
"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)",794.7796341,NA,NA,219850.3944,544.3452857,NA,503.9738919,1372.129341,4160.879517,NA,NA,NA,NA,521.3648621,NA,148.1466582,324.1786935,164910.672,331.5453351,NA,NA,111.8365203,NA,NA,NA,NA,NA,537.8598246,130461.7836,NA
"Actin, alpha skeletal muscle (Alpha-actin-1)",1589.559268,NA,NA,NA,NA,NA,503.9738919,1372.129341,NA,NA,NA,NA,NA,1042.729724,NA,296.2933165,648.3573869,NA,663.0906702,99.84921,NA,223.6730406,NA,NA,NA,NA,NA,1075.719649,NA,NA
"Actin, aortic smooth muscle (Alpha-actin-2)",1589.559268,NA,NA,NA,NA,NA,2015.895568,5488.517362,NA,NA,NA,NA,NA,3128.189172,NA,888.8799495,1945.072161,NA,663.0906702,99.84921,NA,671.0191217,NA,NA,NA,NA,NA,1075.719649,NA,NA
"Actin, cytoplasmic 1 (Beta-actin)",5563.457439,NA,94324.87811,NA,NA,NA,3527.817243,9604.905384,NA,NA,NA,NA,NA,3649.554035,NA,1037.026608,2269.250854,NA,1989.272011,232.98149,NA,782.8556419,65590.21093,5974.007484,NA,NA,NA,3765.018772,NA,NA
"Actin, cytoplasmic 2 (Gamma-actin)",3179.118536,NA,31441.62604,NA,NA,NA,3023.843351,8232.776044,NA,NA,NA,NA,NA,3649.554035,NA,1037.026608,2269.250854,NA,1326.18134,199.69842,NA,782.8556419,37480.12053,3413.718562,NA,NA,NA,2151.439298,NA,NA
"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]",1589.559268,NA,NA,NA,NA,NA,1007.947784,2744.258681,NA,NA,NA,NA,NA,1042.729724,NA,296.2933165,648.3573869,NA,663.0906702,66.56614,NA,223.6730406,NA,NA,NA,NA,NA,1075.719649,NA,NA
"Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)",794.7796341,NA,NA,NA,NA,NA,503.9738919,1372.129341,NA,NA,NA,NA,NA,521.3648621,NA,148.1466582,324.1786935,NA,NA,33.28307,NA,111.8365203,NA,NA,NA,NA,NA,537.8598246,NA,NA
Adenylate kinase 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7410.128409
Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14820.25682
Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331.742212,NA,NA,NA,NA,NA,NA
Afamin (Alpha-albumin) (Alpha-Alb),1762.532726,NA,5244.377796,NA,NA,3984.877565,NA,NA,10582.58805,4688.219262,12881.24624,16458.43436,20952.28685,756.4311049,7618.839697,2001.439152,5100.126713,3616.409947,13912.1505,13484.01674,889.2888859,1513.515727,NA,22658.48054,4313.45235,6534.798192,7773.387171,18026.96908,2387.069243,4390.414456
Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),NA,NA,NA,NA,NA,NA,2335.974789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13709.38971,NA,1792.903611
Albumin,112488628.9,88688061.99,231600103.1,18627509.65,56202910.11,128238949.2,101886832.7,111028106.5,232244092.7,157608749.7,395906969.4,324209556.7,490496918.3,199702823,238105208.1,196460552.3,275063656.2,197289021,189376946,312839497.7,124637447.5,113711059.8,609017802.4,203866470.4,89493478.85,115000001.4,234103180.3,415109600.4,180232801,172244923.5
"All-trans-retinol 13,14-reductase (EC 1.3.99.23)",NA,27483.3132,NA,NA,33528.78089,NA,36538.43234,30714.69645,51493.54785,NA,NA,NA,NA,NA,NA,NA,26600.3282,35529.20451,NA,NA,NA,7800.826558,NA,NA,NA,6890.372148,NA,NA,NA,NA
