,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0000018,regulation of DNA recombination,GO:BP,3,-0.24390984888954675,-0.24195564154141183,-0.001954207348134923
GO:0000724,double-strand break repair via homologous recombination,GO:BP,3,-0.24390984888954675,-0.24195564154141183,-0.001954207348134923
GO:0006351,DNA-templated transcription,GO:BP,23,0.041530340282822126,0.03959127846945907,0.0019390618133630563
GO:0006355,regulation of DNA-templated transcription,GO:BP,23,0.041530340282822126,0.03959127846945907,0.0019390618133630563
GO:0019219,regulation of nucleobase-containing compound metabolic process,GO:BP,30,0.03838405345882934,0.036452915739680396,0.0019311377191489412
GO:0098796,membrane protein complex,GO:CC,22,-0.00774049977543763,-0.00581188988136294,-0.0019286098940746906
GO:0080090,regulation of primary metabolic process,GO:BP,70,0.14704374956501437,0.14896007588069946,-0.0019163263156850852
GO:0005215,transporter activity,GO:MF,21,0.17537268677678133,0.17727592522792998,-0.0019032384511486478
GO:0006869,lipid transport,GO:BP,25,0.13348733086946218,0.13163675231342425,0.0018505785560379295
GO:0050906,detection of stimulus involved in sensory perception,GO:BP,4,-0.017105958918039454,-0.015261533463287852,-0.001844425454751603
GO:0008152,metabolic process,GO:BP,178,0.11044924177020095,0.11227161582576776,-0.0018223740555668166
GO:0050764,regulation of phagocytosis,GO:BP,8,0.36591471961458344,0.367727352090802,-0.0018126324762185453
GO:0050766,positive regulation of phagocytosis,GO:BP,8,0.36591471961458344,0.367727352090802,-0.0018126324762185453
REAC:R-HSA-5663220,RHO GTPases Activate Formins,REAC,5,-0.2916778074958424,-0.29348601804192814,0.0018082105460857645
GO:0016192,vesicle-mediated transport,GO:BP,42,0.16857363430492817,0.1667760629918847,0.0017975713130434778
GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,GO:BP,3,-0.0017872105318546521,0.0,-0.0017872105318546521
GO:0030030,cell projection organization,GO:BP,23,0.1620034016156898,0.16378961924452692,-0.0017862176288371279
