Entry,Gene Names,Protein names,Query_original,Query_clean
Q8WXG9,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1
A0A1X7SBU6,ADGRV1,Adhesion G protein-coupled receptor V1,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1
A0A1W2PQK7,ADGRV1,Adhesion G protein-coupled receptor V1,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1
A0A1W2PRR5,ADGRV1,Adhesion G protein-coupled receptor V1,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1
A0A1W2PS08,ADGRV1,Adhesion G protein-coupled receptor V1,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],Adhesion G-protein coupled receptor V1
P43652,AFM ALB2 ALBA,Afamin (Alpha-albumin) (Alpha-Alb),Afamin (Alpha-albumin) (Alpha-Alb),Afamin
P21549,AGXT AGT1 SPAT,Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase) (SPT) (EC 2.6.1.51),Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),Alanine--glyoxylate aminotransferase
Q8TBG4,ETNPPL AGXT2L1,Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1),Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),Alanine--glyoxylate aminotransferase
Q8IUZ5,PHYKPL AGXT2L2 PP9286,5-phosphohydroxy-L-lysine phospho-lyase (EC 4.2.3.134) (Alanine--glyoxylate aminotransferase 2-like 2),Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),Alanine--glyoxylate aminotransferase
Q9BYV1,AGXT2 AGT2,"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (EC 2.6.1.18) (D-3-aminoisobutyrate-pyruvate aminotransferase) (D-AIBAT) (D-beta-aminoisobutyrate-pyruvate aminotransferase)",Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),Alanine--glyoxylate aminotransferase
