Entry,Gene Names,Protein names,Query_original,Query_clean
A0A7P0TAI0,HSPA5,Endoplasmic reticulum chaperone BIP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (Binding-immunoglobulin protein) (Endoplasmic reticulum chaperone BiP) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
A0A7P0TB36,HSPA5,Endoplasmic reticulum chaperone BIP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (Binding-immunoglobulin protein) (Endoplasmic reticulum chaperone BiP) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
B4DEF7,,"cDNA FLJ60062, highly similar to 78 kDa glucose-regulated protein",78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),78 kDa glucose-regulated protein
O43823,AKAP8 AKAP95,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),A kinase (PRKA) anchor protein 6,A kinase
Q9BSF0,AKAP19 C2orf88,A-kinase anchoring protein 19 (Small membrane A-kinase anchor protein) (Small membrane AKAP) (smAKAP),A kinase (PRKA) anchor protein 6,A kinase
Q92667,AKAP1 AKAP149 PRKA1,"A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)",A kinase (PRKA) anchor protein 6,A kinase
Q02952,AKAP12 AKAP250,A-kinase anchor protein 12 (AKAP-12) (A-kinase anchor protein 250 kDa) (AKAP 250) (Gravin) (Myasthenia gravis autoantigen),A kinase (PRKA) anchor protein 6,A kinase
Q86UN6,AKAP14 AKAP28,A-kinase anchor protein 14 (AKAP-14) (A-kinase anchor protein 28 kDa) (AKAP 28) (Protein kinase A-anchoring protein 14) (PRKA14),A kinase (PRKA) anchor protein 6,A kinase
Q99996,AKAP9 AKAP350 AKAP450 KIAA0803,A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),A-kinase anchor protein 9
B3KQF9,,"cDNA FLJ90388 fis, clone NT2RP2005425, highly similar to A-kinase anchor protein 9",A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),A-kinase anchor protein 9
A0A7P0T939,AKAP9,A-kinase anchoring protein 9,A-kinase anchoring protein 9,A-kinase anchoring protein 9
A0A7P0TAA2,AKAP9,A-kinase anchoring protein 9,A-kinase anchoring protein 9,A-kinase anchoring protein 9
A0A7P0Z4Q5,AKAP9,A-kinase anchoring protein 9,A-kinase anchoring protein 9,A-kinase anchoring protein 9
A0A7P0T8N5,AKAP9,A-kinase anchoring protein 9,A-kinase anchoring protein 9,A-kinase anchoring protein 9
A0A7P0T9A9,AKAP9,A-kinase anchoring protein 9,A-kinase anchoring protein 9,A-kinase anchoring protein 9
Q9BTD2,,ACTG1 protein,ACTG1 protein,ACTG1 protein
Q96FU6,ACTG1,ACTG1 protein,ACTG1 protein,ACTG1 protein
A0A679KA99,,ACX136,ACX136,ACX136
A0A679KL62,,ACX82,ACX82,ACX82
A0A4E0W274,,AEP3B2,AEP3B2,AEP3B2
Q01432,AMPD3,AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),AMP deaminase 3
B7Z282,,AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E),AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),AMP deaminase 3
A1A5B0,ANKRD36,ANKRD36 protein,ANKRD36 protein,ANKRD36 protein
A2VCN4,ANKRD36,ANKRD36 protein,ANKRD36 protein,ANKRD36 protein
P78482,APOB,APOB protein,APOB protein,APOB protein
A5PL32,APOL1,APOL1 protein,APOL1,APOL1
Q29RW7,APOL1,APOL1 protein,APOL1,APOL1
Q1WWL5,APOL1,APOL1 protein,APOL1,APOL1
Q2KHQ6,APOL1,"APOL1 protein (Apolipoprotein L, 1)",APOL1,APOL1
B2R9E5,,"cDNA, FLJ94353, highly similar to Homo sapiens apolipoprotein L, 1 (APOL1), transcript variant 2, mRNA",APOL1,APOL1
A5PL32,APOL1,APOL1 protein,APOL1 protein,APOL1 protein
Q29RW7,APOL1,APOL1 protein,APOL1 protein,APOL1 protein
Q1WWL5,APOL1,APOL1 protein,APOL1 protein,APOL1 protein
Q2KHQ6,APOL1,"APOL1 protein (Apolipoprotein L, 1)",APOL1 protein,APOL1 protein
E7EVS6,ACTB,Actin beta,Actin beta,Actin beta
A0A2R8Y793,ACTB,Actin beta,Actin beta,Actin beta
A0A2R8YEA7,ACTB,Actin beta,Actin beta,Actin beta
A0A2R8YFE2,ACTB,Actin beta,Actin beta,Actin beta
A0A6Q8PGD7,ACTB,Actin beta,Actin beta,Actin beta
A0A7P0TBL1,ACTG1,Actin gamma 1,Actin gamma 1,Actin gamma 1
I3L4N8,ACTG1,Actin gamma 1,Actin gamma 1,Actin gamma 1
J3KT65,ACTG1,Actin gamma 1,Actin gamma 1,Actin gamma 1
A0A804GS07,ACTG1,Actin gamma 1,Actin gamma 1,Actin gamma 1
B8ZZJ2,ACTG2,"Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle"
C9JFL5,ACTG2,"Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle"
F8WB63,ACTG2,"Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle"
F8WCH0,ACTG2,"Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle","Actin gamma 2, smooth muscle"
P68032,ACTC1 ACTC,"Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]","Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)","Actin, alpha cardiac muscle 1"
A0A173GMX4,ACTC1,Actin alpha cardiac muscle 1,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)","Actin, alpha cardiac muscle 1"
A0AAQ5BGI5,ACTC1,Actin alpha cardiac muscle 1,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)","Actin, alpha cardiac muscle 1"
A0A173GMX0,ACTC1,Actin alpha cardiac muscle 1,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)","Actin, alpha cardiac muscle 1"
A0AAQ5BGG2,ACTC1,Actin alpha cardiac muscle 1,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin)","Actin, alpha cardiac muscle 1"
P68133,ACTA1 ACTA,"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]","Actin, alpha skeletal muscle (Alpha-actin-1)","Actin, alpha skeletal muscle"
B7Z6P1,,"cDNA FLJ53662, highly similar to Actin, alpha skeletal muscle","Actin, alpha skeletal muscle (Alpha-actin-1)","Actin, alpha skeletal muscle"
P62736,ACTA2 ACTSA ACTVS GIG46,"Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]","Actin, aortic smooth muscle (Alpha-actin-2)","Actin, aortic smooth muscle"
B4DUI8,,"cDNA FLJ52761, highly similar to Actin, aortic smooth muscle","Actin, aortic smooth muscle (Alpha-actin-2)","Actin, aortic smooth muscle"
B7Z6I1,,"cDNA FLJ52755, highly similar to Actin, aortic smooth muscle","Actin, aortic smooth muscle (Alpha-actin-2)","Actin, aortic smooth muscle"
P60709,ACTB,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]","Actin, cytoplasmic 1 (Beta-actin)","Actin, cytoplasmic 1"
Q8WVW5,,"Actin, cytoplasmic 1","Actin, cytoplasmic 1 (Beta-actin)","Actin, cytoplasmic 1"
A0A2R8YGF8,ACTB,"Actin, cytoplasmic 1","Actin, cytoplasmic 1 (Beta-actin)","Actin, cytoplasmic 1"
B4E335,,"cDNA FLJ52842, highly similar to Actin, cytoplasmic 1","Actin, cytoplasmic 1 (Beta-actin)","Actin, cytoplasmic 1"
P63261,ACTG1 ACTG,"Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]","Actin, cytoplasmic 2 (Gamma-actin)","Actin, cytoplasmic 2"
I3L1U9,ACTG1,"Actin, cytoplasmic 2","Actin, cytoplasmic 2 (Gamma-actin)","Actin, cytoplasmic 2"
I3L3R2,ACTG1,"Actin, cytoplasmic 2","Actin, cytoplasmic 2 (Gamma-actin)","Actin, cytoplasmic 2"
K7EM38,ACTG1,"Actin, cytoplasmic 2","Actin, cytoplasmic 2 (Gamma-actin)","Actin, cytoplasmic 2"
I3L3I0,ACTG1,"Actin, cytoplasmic 2","Actin, cytoplasmic 2 (Gamma-actin)","Actin, cytoplasmic 2"
P63267,ACTG2 ACTA3 ACTL3 ACTSG,"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]","Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]","Actin, gamma-enteric smooth muscle"
B3KW67,,"cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle","Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]","Actin, gamma-enteric smooth muscle"
P63267,ACTG2 ACTA3 ACTL3 ACTSG,"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]","Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)","Actin, gamma-enteric smooth muscle"
B3KW67,,"cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle","Actin, gamma-enteric smooth muscle (Gamma-2-actin) (Smooth muscle gamma-actin)","Actin, gamma-enteric smooth muscle"
D6RDH4,AK6,Adenylate kinase 6,Adenylate kinase 6,Adenylate kinase 6
A0A087WVD7,AK6,Adenylate kinase 6,Adenylate kinase 6,Adenylate kinase 6
A0A087WY94,AK6,Adenylate kinase 6,Adenylate kinase 6,Adenylate kinase 6
Q9Y3D8,AK6 CINAP AD-004 CGI-137,Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),Adenylate kinase isoenzyme 6
A0AAU7BBC0,AK6 CINAP,Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Coilin-interacting nuclear ATPase protein) (Dual activity adenylate kinase/ATPase) (AK/ATPase),Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),Adenylate kinase isoenzyme 6
