Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
10E8 light chain variable region,22338.57536,,5175.324325,20508.22203,,24104.09984,47112.19868,,,,,,,,,,,,,,,,,,37944.84641,,,,,
10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),11169.28768,,,10254.11102,,12052.04992,23556.09934,,,,,,,,,,,,,,,,,,18972.4232,,,,,
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),,,1134.526313,,,,1401.725351,,,,,,,,,,,,,,,,,,,,,,1613.080425,
B cell receptor heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,103254.1598,,,,,,,
Cryocrystalglobulin CC1 heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,,,98855.68408,,,,,
Cryocrystalglobulin CC2 lambda light chain variable region,,,,,,,,,,,,,,,,,,,,,,,34642.65586,,,,,,,
IGH c384_heavy_IGHV1-69_IGHD4-23_IGHJ6,,,,,,,,,,,,,,,,,,10479.49097,,,,,,,,,,,,
IGH c3867_heavy_IGHV3-7_IGHD3-10_IGHJ6,,,,,,,,,,,,,,,,,,,,,,,,,,310921.1418,,,,
IGH c3872_heavy_IGHV3-33_IGHD1-26_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,54130.09576,,,,,,,
IGH c3876_heavy_IGHV3-43_IGHD1-26_IGHJ4,,,,,,,,,,,24031.46523,,,,,,,14498.91503,,25497.99731,,,47642.00969,,,24729.24909,,,16019.72552,15568.11976
IGH c3878_heavy_IGHV1-69_IGHD5-24_IGHJ4,,,,,,,,,,761.8786514,,,,,,,,,,,,,1299.830401,,,,,,,
IGH c387_heavy__IGHV5-51_IGHD6-13_IGHJ2,,,,,,100252.8577,,,,63348.12359,,,,,20508.22203,,34135.51889,,100227.1882,,,,,,,,,,,
IGH c3881_heavy_IGHV1-69_IGHD3-10_IGHJ5,,,,,,,,,,,,,,,,,,4354.534141,,,,,,,,,,,,
IGH c3886_heavy_IGHV3-15_IGHD2-15_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,144176.6944,,130034.6571,109195.7848,
IGH c3892_heavy_IGHV4-59_IGHD3-10_IGHJ4,,,1257.710456,,,,,,,,,,,,,,,1154.116259,,2061.6,,2297.560457,,,,331.2335727,,,,
IGH c3897_heavy_IGHV3-7_IGHD3-16_IGHJ6,,,123650.3982,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c3920_heavy_IGHV3-33_IGHD5-12_IGHJ3,,,20112.74168,,,,,,,,,,,,,,,,,,,21355.85581,,,,,28769.0739,,,
IGH c3935_heavy_IGHV3-49_IGHD5-18_IGHJ6,,,39244.02867,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c3940_heavy_IGHV3-33_IGHD3-22_IGHJ4,21791.11813,,,,,,33564.80896,,15100.96741,,,,,,,16892.89728,,,,,36211.10037,,198833.3797,,39226.71885,,,71131.93668,,27247.46618
IGH c395_heavy__IGHV3-7_IGHD1-14_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,35165.98787,,
IGH c397_heavy_IGHV3-48_IGHD2-15_IGHJ4,16830.28902,,34022.60749,,,,,,,,,21719.19856,,,,,,24786.33428,,41114.64,,,53767.87829,26100.23486,18765.18925,,,,24454.02823,
IGH c4003_heavy_IGHV3-73_IGHD2-15_IGHJ4,,,,,24718.0997,85931.62889,,23946.09266,,,,,,,,,27987.56359,113673.0287,,104722.34,,80051.14731,,,34392.80749,84739.31065,147913.9283,118900.8298,94001.23914,
IGH c4004_heavy_IGHV3-72_IGHD5-5_IGHJ4,,,,,,,,,,,,,,,89875.70516,,,,,,,,,,,,,,,
IGH c4018_heavy_IGHV3-21_IGHD3-22_IGHJ2,,,,,,,,,,,,,,,,,,,,,,44450.73454,,,,,,,,
IGH c4041_heavy_IGHV3-21_IGHD5-12_IGHJ6,,,,,,,,,,,,,,,,,,,156401.0262,,,,,,,,,,,
IGH c4046_heavy_IGHV1-18_IGHD5-24_IGHJ4,,,,,,,,,,,,,,,,,,,,,,60343.74549,,,,,,,,
IGH c4052_heavy_IGHV3-23_IGHD1-26_IGHJ5,5559.316465,,,,,,,,,,,,,,,,,,11213.72527,,,,,,,,,,,
IGH c406_heavy__IGHV3-33_IGHD3-10_IGHJ4,,,,,,,,,,,,,,,,,,20499.12206,,,,,,,,,,,,
IGH c4086_heavy_IGHV3-53_IGHD3-9_IGHJ6,,4878.660535,,,,,,,,14016.21181,,,20228.63074,,,,,24655.70349,,,15520.89873,,,,,,,,,
IGH c4101_heavy_IGHV2-5_IGHD3-22_IGHJ4,,1646.111836,,,,,,,,,,,,,,,,121.5934727,,,,,,,,,,,,
IGH c4112_heavy_IGHV1-69_IGHD3-22_IGHJ4,,,,,,,,,,,,,,,,,,,1696.937167,5718.15,,,,,,,,,,1222.561518
IGH c4118_heavy_IGHV3-23_IGHD6-13_IGHJ1,,,,,,,,,,,,,,,,,13635.70083,,,,,,,,,,,,,
IGH c4137_heavy_IGHV5-51_IGHD5-12_IGHJ4,2421.459259,,,,563.8855313,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c4158_heavy_IGHV3-49_IGHD3-10_IGHJ1,,,,27765.32419,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c4189_heavy_IGHV4-34_IGHD3-10_IGHJ6,,,,,,7731.676797,,,,,,,,,,,,,,,,,,,,,,,,
IGH c418_heavy_IGHV4-39_IGHD6-13_IGHJ2,,,,,,,,,,,,,,,,,,,,7628.03037,,,,,,,,,,
IGH c4205_heavy_IGHV3-74_IGHD5-24_IGHJ4,,,,,,,,,,20637.35539,,,,17666.97829,,,,,,,,,,,,,,,,
IGH c420_heavy__IGHV1-69_IGHD3-22_IGHJ4,20958.2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c4210_heavy_IGHV3-43_IGHD3-10_IGHJ5,,,,,,,14593.30247,,,,,,,,,,,,,,,,,,,,,,,
IGH c430_heavy_IGHV4-59B_IGHD3-9_IGHJ4,,,,,,,2409.855234,,,,,,,,,,,,,,,,,,,,,,,
IGH c436_heavy_IGHV3-48_IGHD5-18_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,121661.7507,,,,,,,
IGH c441_heavy__IGHV3-72_IGHD3-22_IGHJ4,,,,,,,54216.29122,,,,57997.16434,,,,,24974.09918,,30000.5887,,,,59531.74552,99121.10019,,,,,,,
IGH c442_heavy_IGHV1-8_IGHD3-22_IGHJ1,28620.1265,,,,,,,,4489.988342,,15992.82976,,18843.23806,,,,,19441.2642,,,,,,,,,,,,11105.53219
IGH c442_heavy__IGHV3-23_IGHD4-17_IGHJ4 (IGH c485_heavy__IGHV3-23_IGHD4-17_IGHJ4),,,,,,,,,,,,,,,,,,,10903.833,,,,,,,,,,,
IGH c443_heavy__IGHV4-59B_IGHD5-24_IGHJ4,,,,5940.345194,8857.225332,,,,,,,,,,4222.484057,,7591.96452,,,,,,,,,,,,,
IGH c445_heavy__IGHV3-11_IGHD6-13_IGHJ4,,,,14168.60629,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c448_heavy__IGHV1-18_IGHD5-24_IGHJ6,,,,,,,5062.832528,,,,,,,,,,,,,,,,,,,,,,,
IGH c454_heavy_IGHV3-49_IGHD3-22_IGHJ6,,,32296.55697,,,,,,,,,,,,,19505.20754,,,,,,,,,,,,,21207.10982,
IGH c456_heavy__IGHV1-69_IGHD3-10_IGHJ2,,,,,,,,96141.65508,,,,,,,,,,,,,,,,,,,,,,
IGH c457_heavy_IGHV3-23_IGHD6-13_IGHJ4,,,,,,,,,,,,,,,,,,,36168.16353,,,,,,,,36995.80113,,,25128.23021
IGH c459_heavy_IGHV1-2_IGHD3-22_IGHJ5 (IGH c663_heavy_IGHV1-2_IGHD3-22_IGHJ5),,,11984.52015,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c462_heavy_IGHV3-33_IGHD6-13_IGHJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,24379.72293,24022.02936,,
IGH c464_heavy__IGHV1-2_IGHD1-7_IGHJ4,,,,,,,,,,,,,,,6334.512456,,,,,,,,,,,,,,,
IGH c466_heavy_IGHV3-23_IGHD2-8_IGHJ2,,,11749.26047,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c466_heavy__IGHV3-20_IGHD7-27_IGHJ2,,,,,,16713.53668,,10939.36812,8034.581185,22881.05346,38599.4535,,39893.09259,14204.05388,,,14113.75311,,,,,,,,,,,,,
IGH c468_heavy_IGHV3-11_IGHD6-25_IGHJ4,,,149074.7108,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c469_heavy_IGHV3-74_IGHD3-22_IGHJ3,68800.78094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c471_heavy__IGHV3-74_IGHD2-15_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,229705.3821,,
IGH c479_heavy_IGHV3-48_IGHD3-22_IGHJ3 (IGH c565_heavy_IGHV3-48_IGHD3-22_IGHJ3) (IGH c89_heavy_IGHV3-48_IGHD3-22_IGHJ3) (IGH c963_heavy_IGHV3-48_IGHD3-22_IGHJ3),,,,,,,,,,,,,,,,,,,,,,,,46071.11939,,,,,,
IGH c481_heavy_IGHV3-48_IGHD4-17_IGHJ3,,,,,,,,,,,,,,,,,,81119.31982,,,,,,,,,,,,
IGH c481_heavy__IGHV1-8_IGHD3-10_IGHJ5 (IGH c551_heavy__IGHV1-8_IGHD3-10_IGHJ5),,,,,,7765.329514,,,,4469.139492,,,11620.27616,,,,,13392.10563,,,,,,,,,,,,9979.866943
IGH c486_heavy__IGHV4-39_IGHD3-22_IGHJ4,,,,,,,,,,,,,,,,,,,,19765.10424,,,,3915.231293,,,,,,
IGH c492_heavy_IGHV1-69_IGHD3-22_IGHJ4,,,,,,,,37803.52284,,65103.79095,,,,,,49454.19323,,,,,,,,,,,,,,
IGH c498_heavy_IGHV3-48_IGHD4-17_IGHJ3 (IGH c829_heavy_IGHV3-48_IGHD4-17_IGHJ3) (IGH c944_heavy_IGHV3-48_IGHD4-17_IGHJ3),,,,,,,,,,,,,36646.57206,,15158.79722,,,,,,,48841.30886,,,,54906.30718,124189.7441,,,
IGH c499_heavy__IGHV3-23_IGHD3-16_IGHJ5,,,,,,,,,,,,,,,,,,,,,8460.935904,,,,,,,,,
IGH c501_heavy__IGHV3-73_IGHD3-16_IGHJ4,,,,26636.96405,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c506_heavy__IGHV3-43_IGHD2-15_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,953.1737922,,,
IGH c507_heavy__IGHV1-8_IGHD3-10_IGHJ5,445.0900089,,,,,,,,,,,,,,,,,,,,,,,,,249.7793671,,,,337.0066953
IGH c508_heavy_IGHV1-69_IGHD3-22_IGHJ4,2386.967291,,,,,2302.813299,,,,,,,,,,,,,1112.903051,,,,,,,,1531.598737,,,
IGH c509_heavy_IGHV4-39_IGHD2-2_IGHJ6,,,,,,,,,,,,,,,,,,,,,,,,17146.00796,,,,,,
IGH c512_heavy_IGHV1-69_IGHD3-22_IGHJ3,,,,,,,,,,,,,,,,,,,,340790.6922,,,,83661.03938,,,,,,
IGH c514_heavy__IGHV1-2_IGHD4-17_IGHJ1,,,,,,,468.6205383,,,,,,,,,,,,,,,,,,,,,,,
IGH c516_heavy__IGHV4-31_IGHD3-22_IGHJ1,,,,,,,,1419.626356,,,,,,,,,,,,,,,,,,,,,11795.31965,
IGH c51_heavy__IGHV3-43_IGHD3-3_IGHJ4,3082.642701,2670.623394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c524_heavy__IGHV1-18_IGHD3-10_IGHJ4,6654.624525,,,,,,,,,,5362.321906,,,,,,,,,,,,,,,,,,,
IGH c526_heavy_IGHV3-21_IGHD3-22_IGHJ4,,,,,,,,,,,,,,,,,,,,,,16347.93456,,,,,,,,
IGH c527_heavy_IGHV4-39_IGHD3-22_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.298049,
IGH c527_heavy__IGHV3-73_IGHD7-27_IGHJ6,,,,,,,,,11126.65047,,,,,,,,,,,,,,,,,,,,,
IGH c531_heavy__IGHV3-33_IGHD3-10_IGHJ4,,,,,,7741.881349,,,,,,,,,,,,,,,,,,,,,,,,
IGH c540_heavy__IGHV3-74_IGHD5-12_IGHJ4,,,,,,,,,,,,,,,,,79796.1566,,,,,,,,,,,,,
IGH c547_heavy__IGHV3-33_IGHD4-17_IGHJ4,,,,15632.12763,,,19714.60642,,,15136.65158,,,,,,,,,,,,,,24731.03429,,33477.46647,,,,22303.85489
IGH c548_heavy_IGHV3-11_IGHD6-13_IGHJ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690.335145
IGH c552_heavy_IGHV5-51_IGHD3-16_IGHJ4,,,,,,,,,,,,,,,,,,,,251367.55,,,,,,84849.96212,,182100.7687,,
IGH c555_heavy__IGHV1-69_IGHD3-22_IGHJ3,,,13517.81346,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c566_heavy_IGHV4-4_IGHD5-12_IGHJ3,,,,,7702.8823,,12629.95305,,,,,,,9824.162661,,,,,,,,,,,,,,,15515.61175,
IGH c566_heavy__IGHV3-49_IGHD3-22_IGHJ4,,,,,10869.24866,,,,,,,,,,,,,9880.095469,,,,18389.18033,39165.34598,,,,,,,
IGH c568_heavy_IGHV1-69_IGHD5-12_IGHJ2,,,,,,,1133.986782,,,,,,,,,,,,,,,,,,,,,,,
IGH c571_heavy_IGHV4-39_IGHD3-22_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,13290.11978,,
IGH c573_heavy__IGHV3-33_IGHD3-9_IGHJ6,,,,,,,,,,,30075.87405,48146.13138,,,,,,,,,,,,,,,,,,
IGH c57_heavy__IGHV3-33_IGHD3-3_IGHJ5,,,,,,,,,,,,,,,,,,16792.26784,30807.5753,,,,,,,,27911.44074,,,
IGH c586_heavy_IGHV4-39_IGHD2-15_IGHJ5,,,,,2985.424721,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c587_heavy_IGHV3-30_IGHD5-12_IGHJ4,,,,,,,,,,,,,,,,,,161280.3515,,,,,,102506.0833,,,,,,
IGH c591_heavy_IGHV1-18_IGHD5-18_IGHJ6,,,,,,,,,,,,,,,,,,,,,,,415728.7761,,,,,,,
IGH c595_heavy__IGHV1-18_IGHD3-3_IGHJ6,,,,,,,,,,,,,,,,,,,,,,25356.12923,,,,,,,,
IGH c598_heavy__IGHV3-7_IGHD3-16_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,16168.23642,,,,
IGH c599_heavy__IGHV1-69_IGHD1-7_IGHJ4,,,324144.1299,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c610_heavy_IGHV3-33_IGHD4-23_IGHJ4,,,,,,,,,,,69620.79767,,92487.26069,,,,,157121.2421,77447.42069,,,,,,,64537.88383,,,86203.86275,
IGH c617_heavy_IGHV3-48_IGHD5-12_IGHJ6,,,,,,,42570.84868,,,,,,26198.76868,,,,,,,,,,55166.08228,,,,,,,
IGH c624_heavy_IGHV3-49_IGHD5-5_IGHJ6,,,,,,,,,,,,,,,,16967.08286,15738.80968,,,,,,,,,,,28561.69321,,
IGH c627_heavy_IGHV4-39_IGHD1-26_IGHJ6,,,,,,,,,,,,,,,,,,,,,849.4250884,,,,,,,,,
IGH c631_heavy_IGHV1-69_IGHD5-12_IGHJ6,,,,,,,,,,,,,,,,,,3636.094175,,,,,,,,,,,,
IGH c638_heavy_IGHV1-69_IGHD3-10_IGHJ6,,,,,,,,,,,,,,,,134726.402,,,,,,,,,,,,,,
IGH c63_heavy__IGHV3-30_IGHD2-21_IGHJ3,,,,,,,,,,3018.847845,,,,,,,,,,,,,,,,,,,,
IGH c641_heavy_IGHV3-23_IGHD5-12_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11410.44771
IGH c642_heavy_IGHV3-48_IGHD3-10_IGHJ6,20022.94079,,59934.85203,,,,22268.14943,,,,,,,,,,,79698.59475,,,,,,,,,,,,
IGH c64_heavy_IGHV3-21_IGHD3-22_IGHJ4,,,,,,,,,,3689.04196,,,,,,,,,26552.95617,,,,30840.07453,,,,,,,
IGH c651_heavy_IGHV3-23_IGHD3-22_IGHJ4,,,134802.0089,,,,,,,,,58582.87269,,,,,,,,47156.31,16664.87054,,,,,,,,,
IGH c656_heavy_IGHV3-23_IGHD3-3_IGHJ4,,,19436.71907,,,,,,,5415.220493,,,,,,,,,,,,,,17910.30383,18108.17674,,,,14689.08301,
IGH c658_heavy_IGHV3-53_IGHD3-22_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9114.326579
IGH c661_heavy_IGHV5-51_IGHD1-26_IGHJ3,,,320627.3917,,,,,,,63348.12359,,,,,,,,,,,,,,,,,,,,
IGH c675_heavy_IGHV3-49_IGHD5-5_IGHJ6,,,,,,,,,,,,,,29531.44651,33016.91922,,,,,,,,,12733.67631,,,,,,
IGH c67_heavy__IGHV3-33_IGHD6-25_IGHJ4,9090.719503,,,,2268.655341,,,,,,,,,,,,,8943.671858,,,,,,,,,,,,
IGH c683_heavy_IGHV3-11_IGHD4-4_IGHJ3,,,,,,,,,,,,,,,,,,,,,,68663.32778,,,,,,52687.15863,77654.827,
IGH c691_heavy_IGHV3-74_IGHD1-20_IGHJ4,,20253.84588,,19019.38671,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c6_heavy__IGHV3-20_IGHD2-21_IGHJ2,,,,,,,,,,,,11891.48484,,,,,,,,,4591.785275,,,,,,,,,
IGH c70_heavy_IGHV3-7_IGHD2-2_IGHJ4,,,,,,,,,,,,,,,,,,,,,,97639.59479,,,,,,,,
IGH c71_heavy__IGHV3-7_IGHD4-23_IGHJ3,,,,,,,5730.885275,,,,,,,,,,,,,,,,,,,,,,,
IGH c738_heavy_IGHV1-69_IGHD6-19_IGHJ6,,,,,,,,,2049.937957,,,,,,,,,,,,,,,,,,,,,9988.864452
IGH c739_heavy_IGHV3-23_IGHD4-17_IGHJ4,,,,,,22385.28804,,,,,33348.00341,,,,21209.8077,,,,,,,54437.44047,,,,71972.54329,,,,
IGH c754_heavy_IGHV3-48_IGHD3-10_IGHJ4,,,,,,,,,49002.86564,,,,,,,,,,,,,,372601.097,,,,,,,
IGH c75_heavy_IGHV4-39_IGHD3-16_IGHJ4,5155.511951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c768_heavy_IGHV3-48_IGHD4-17_IGHJ3,,,,,,,,,,,,,29357.02826,,,,,,,,,,,,,,,,,
IGH c778_heavy_IGHV3-43_IGHD6-6_IGHJ2,,,,,,,,,,,15343.58666,,,,,,,7132.01349,,,,,,,,,,,,
IGH c7_heavy_IGHV4-4_IGHD3-10_IGHJ6,,,,,7702.8823,,12629.95305,,,7547.735721,,,,9824.162661,,,,,,,,,78062.94992,,,,,,,
IGH c805_heavy_IGHV3-48_IGHD4-17_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,30752.05942,,,,
IGH c828_heavy_IGHV1-2_IGHD2-8_IGHJ4,,,,,,,25938.74772,,,,,,,8944.403871,1977.671342,,,,,,,,25107.51331,3137.648725,,,6775.478454,,,
IGH c832_heavy_IGHV1-69_IGHD3-22_IGHJ4,,3291.255743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGH c853_heavy_IGHV3-73_IGHD6-19_IGHJ4,,,,,,,,,13463.16979,,,,57740.00705,,,,,,84272.29183,,9057.233959,,,24357.56713,,,,,,
IGH c858_heavy_IGHV5-51_IGHD3-10_IGHJ5,,,,,,,,,,,,,,,,,,,,,,417.1370085,,,,,,,,
IGH c862_heavy_IGHV3-48_IGHD4-17_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27882.92587
IGH c867_heavy_IGHV4-59_IGHD7-27_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6701.850933,,
IGH c877_heavy_IGHV3-23_IGHD3-22_IGHJ4,,,,,,85865.50596,41745.66395,,,,,,,,54704.66672,,,51778.14586,155355.6369,,,118136.2896,,80606.32652,,144139.8707,66558.88161,,73869.7439,
IGH c879_heavy_IGHV3-21_IGHD3-3_IGHJ3,,,,,,,,,,,,,,,,,,,,,30403.9172,,,54795.08948,,,,,,
IGH c899_heavy_IGHV3-23_IGHD6-19_IGHJ6,,,,,,,,,,,,,,,,,,,25860.18851,,,,,,,,,,,
IGH c8_heavy__IGHV3-74_IGHD1-26_IGHJ1,,,,,20177.74827,,62853.68417,,,,,,,,,,31341.31066,,,,,,,,,,,,,
IGH c901_heavy_IGHV3-48_IGHD4-17_IGHJ3,37237.07728,,,,,46103.49689,,,,,60116.47568,,61034.70332,,60469.28467,,,118929.9477,,,,85637.25847,,,52221.49637,116297.836,,,91885.94743,57790.6499
IGH c909_heavy_IGHV1-69_IGHD3-22_IGHJ4,,,,75517.98346,,,,,,,,,,,,,,,,,,,,,,116319.7059,,,,
IGH c91_heavy__IGHV1-69_IGHD3-9_IGHJ4,24220.83898,,18705.91915,,,,,,,,,,,,,,,,,,,,,7146.93765,,,,18850.29803,,
IGH c934_heavy_IGHV3-48_IGHD5-12_IGHJ4,,,,,,,1227.755114,,,,,,,,,,,,,,,,,,,,,,,
IGH c941_heavy_IGHV3-48_IGHD5-18_IGHJ4,,,,,,,,,,,,,,79175.78025,,,,,,,,,,,,,,,,
IGH c953_heavy_IGHV3-15_IGHD3-22_IGHJ4,46898.86341,,,,,43150.04581,,,,,,,,,,,,,,,,,,,,,,,,
IGH c960_heavy_IGHV3-74_IGHD2-15_IGHJ3,,,35864.80945,,,,,,,,,,17060.65284,,,,,,,,,,,,,,20532.66927,,,14557.96422
IGH c96_heavy__IGHV3-15_IGHD3-10_IGHJ5,,,,,,,,,,,,,,,,,,,,,9080.103967,,,,,,,,,23449.29775
IGH c971_heavy_IGHV1-69_IGHD3-3_IGHJ3,,,,6470.376959,,,,,,,24623.8711,16300.67152,,,,7320.799698,,,,52402.87,19885.02602,,,,,,,,,
IGH c972_heavy_IGHV3-7_IGHD6-13_IGHJ4,,,123676.4675,,,,,12438.53502,,,,,,,,,,,,,,,,,,,,,,
IGH c973_heavy_IGHV3-23_IGHD6-19_IGHJ3,,,,,,,,,,,,,,,,,,12722.75036,,,,,,,,,,,,
IGH c97_heavy__IGHV4-39_IGHD1-14_IGHJ6,,,,,2985.424721,,5371.974296,,,,,,3976.480399,,,,,,,,,7758.967524,13411.46516,,,,,,,
IGH@ protein,,,4437649.97,,,,,,116271690.2,4293716.466,19020247.77,,,,,34786934.83,,,42807277.95,,,10854190.37,,,,,,,,
IGHV2-70 protein,,,,,,,11742.12603,,,,,,,,,,,,,,,,,,,,,,,
IGHV5-51*03_S2680,,,,,,,,,,,,,,,,,,,98947.6632,,,,,,,,,,,
IGK@ protein,12433902.15,,7322592.43,6126280.068,,,14087090.76,,,,,,,,5172546.833,,10307769.43,10398122.62,11594019.06,12602317.57,,,10434688.96,,,4931737.051,,,7302672.241,7349578.782
IGL c1015_light_IGLV3-25_IGLJ1,,,,,,,,,,,,19413.50801,,,,,,,,,,,,,17420.32473,,,,,
IGL c101_light_IGLV3-21_IGLJ1,26349.17873,,,,,,,39054.15534,,,,,,,,,16678.31457,,,,,,,,,,,,,
IGL c103_light_IGKV1-8_IGKJ5,,,,,,,,,,,,,,,,,,17845.16891,,,,,,,,,,,,
IGL c1043_light_IGKV3-20_IGKJ4,,,,,,,,,,,,,,,,,,,175986.2464,,,,,,,,,,,
IGL c1063_light_IGKV3-20_IGKJ4,,,,,,,,,,556.1266591,,,,,,1282.613232,,1582.094573,,,,,,,,,,,2649.781558,
IGL c1073_light_IGKV1-5_IGKJ2,,,,,,,,,,,,,,,,,,,,,,,,,,5512.236133,,,,
IGL c1082_light_IGKV3-20_IGKJ3,,,,,,,,,,,,,,,,,,,,,42422.26673,,,,,,,,174299.6159,
IGL c1085_light_IGLV3-25_IGLJ1,,,,,,21181.41577,,,,,,,,,,51217.03619,,,,38290.67,,,,,,28662.99917,,,,
IGL c1088_light_IGKV3-20_IGKJ2,,,,,,,,63503.28964,51484.30241,,108198.7851,,,74312.21731,,,,,,,,,181930.2447,61588.36919,,,,,,
IGL c1091_light_IGKV3-20_IGKJ3,165392.3606,,,,,,,,,,,,,,105425.1691,198008.2205,244199.0268,,,,,147356.2246,,82613.49451,,,,,275088.8841,
IGL c10_light_IGLV1-44_IGLJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.795051,,,
IGL c1103_light_IGKV3-20_IGKJ4,,,18202.4094,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGL c1104_light_IGKV3-20_IGKJ1,,19347.40071,,,9117.174523,62352.4001,,,,,,99971.64222,,,,14209.91085,,80192.43722,,139562.87,35399.07273,,,,70961.45178,106306.9762,,,,
IGL c1110_light_IGKV3-20_IGKJ3,,,,,,,7093.680314,,,,,,,,,,,,,,,,,,,,,,,
IGL c1116_light_IGKV3-20_IGKJ1 (IGL c1138_light_IGKV3-20_IGKJ1),,,,,,,,,,,179972.7848,,,,76033.14321,,,,,,,,,,,,,136092.4684,,
IGL c1121_light_IGLV1-40_IGLJ3,,,,,,,89616.70613,,,,,,,,,,56278.73374,,,,,,,,,,,,,
IGL c1133_light_IGKV3-20_IGKJ1 (IGL c524_light_IGKV3-20_IGKJ1),,,,,,,,,,,,,,,,,,4064.680707,,,,,,,,,3191.140445,,15911.51539,
IGL c1134_light_IGKV3-15_IGKJ2,,,29560.7546,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGL c113_light_IGKV3-15_IGKJ1,,,,,,,,,,,,,,,,,18607.3156,,,,,,,,,,,,,
IGL c1145_light_IGKV3-11_IGKJ2,,,,,,,,39900.64307,,,,,,,,,,,,,,,,,,,,,,
IGL c1148_light_IGLV3-21_IGLJ2,,,,,,,,,13772.49873,,,,,,,,,,,,,,,,,,,20488.88242,,
IGL c1156_light_IGKV3-20_IGKJ2,,14962.88936,,,,,,,,,,,,,,,,,,,,43505.8364,,,,,,87786.06792,,
IGL c1161_light_IGKV3-20_IGKJ2,,,,,,,,,,,,,,5131.120898,,,,,,,,,,,,,,,,
IGL c1162_light_IGKV3-20_IGKJ5,,,,,,,,,,,,,,,,,,,,,,122307.7061,,,,,,,,
IGL c1164_light_IGKV3-20_IGKJ3,,,,,,,,,,,,84686.07297,,,,,,,,,,,,,,,,,,
IGL c1166_light_IGKV3-20_IGKJ2,107565.2426,,142175.0575,,,,,,,,,,,,,,,,,,,,,,92848.3879,,,,,
IGL c1168_light_IGKV4-1_IGKJ5,,,,,,,,,,,,,,,,,,,,,,,,,,78987.52679,,,,
IGL c116_light_IGKV3D-20_IGKJ1,,40985.91219,,,,,,45965.12654,,,,,,,,,,,,,56425.28024,,,,99428.1129,,,,,93111.43308
IGL c118_light_IGKV3-20_IGKJ1,,,,,,,3950.483625,,,,,,,,,,4003.364647,,,,,,,,,,,,,
IGL c1196_light_IGKV1-5_IGKJ1,,,,,12274.79874,,14961.50542,,,,,22023.25682,,,,,21220.90617,,,39427.49,,,,,,,,,,
IGL c1204_light_IGKV3-20_IGKJ2,,,,,,,,,,,,,,,,16680.04871,,,,,,,,,,,,,,
IGL c1224_light_IGKV4-1_IGKJ2,,,3360.004476,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.363945
