Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
10E8 light chain variable region,22338.57536,,5175.324325,20508.22203,,24104.09984,47112.19868,,,,,,,,,,,,,,,,,,37944.84641,,,,,
10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),11169.28768,,,10254.11102,,12052.04992,23556.09934,,,,,,,,,,,,,,,,,,18972.4232,,,,,
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),,,1134.526313,,,,1401.725351,,,,,,,,,,,,,,,,,,,,,,1613.080425,
B cell receptor heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,103254.1598,,,,,,,
Cryocrystalglobulin CC1 heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,,,98855.68408,,,,,
Cryocrystalglobulin CC2 lambda light chain variable region,,,,,,,,,,,,,,,,,,,,,,,34642.65586,,,,,,,
IG c1046_heavy_IGHV3-30_IGHD4-17_IGHJ3,,,,,,,,,,2267.244754,,,,,,,,9011.990154,,,,,,12066.32275,4213.191678,,22137.45175,,,
IG c104_heavy_IGHV3-30_IGHD2-2_IGHJ6,,,,,,,,,,,30397.53565,64304.86528,,,,,,29821.36627,,,,,,,,,,,48299.99134,
IG c1052_heavy_IGHV3-23_IGHD6-13_IGHJ4,,,,,,,,,,,,,15379.69024,,,,,,,,,,,,,,,,,
IG c1054_light_IGKV1-27_IGKJ1,,,,,,,,,,,91630.67761,,,,,,,,,,,,,,,,,,,
IG c1056_light_IGKV3-20_IGKJ1,,,,,,,,,,,,,,,,,,151724.8512,,,,,,,,,,,,
IG c1056_light_IGKV4-1_IGKJ4,,,,,,21979.08056,,,,,,13024.58082,4436.895007,,1589.556532,1260.019881,,12732.17602,,,,14635.72443,,,11740.86789,,29660.10827,5963.368062,,7189.273116
IG c1057_heavy_IGHV3-30_IGHD2-2_IGHJ6,,,,,,,,,,,,,,,,,,,,,,162611.3574,,,,,,49064.05992,,
IG c1060_heavy_IGHV3-30_IGHD3-22_IGHJ4,20984.86318,,,,,,,,,,41238.4305,,,,,,,,,,,,,,,,,,,
IG c1062_light_IGLV10-54_IGLJ3,,,1250.501056,,,3075.849937,4556.810548,,,,,9618.129884,,,,,,,,,,7128.307475,,,,922.3941711,,,1131.097833,2905.665528
IG c1063_heavy_IGHV1-2_IGHD1-20_IGHJ4,,,,,,,,,,,,,,,,,,3540.640353,1565.664125,,,,,,,,,,,
IG c1064_light_IGKV3-15_IGKJ2,,,,,,,,,,,,,,,,,4905.428521,,,,,,,,,,,,,
IG c1072_light_IGKV4-1_IGKJ1,,,,,,,,6472.497966,2868.904547,,,,,10733.94103,,,12657.27297,,,,,,,,,,,,,
IG c1073_heavy_IGHV3-15_IGHD3-22_IGHJ5,,,,,,,,,,,192692.7249,,,,,,,,,,,,,,,,,,,
IG c1074_light_IGKV4-1_IGKJ1,,,,,,242746.5805,,,,,,,,,,,,,,,,115672.8471,,,,,,,,51023.13869
IG c1078_light_IGKV1-27_IGKJ3,,,,,,,,,,9886.385354,,,,,,,,,,,,,,,,,,,,19560.54441
IG c1079_light_IGLV1-44_IGLJ2,,,,,,,,,58938.86134,,,,,,,,,,,,,,,,,52109.45386,,,,
IG c1080_heavy_IGHV3-21_IGHD5-12_IGHJ4,,,,,,,,,,,,,,,,,,92320.119,,,,,,,,,,,,
IG c1082_light_IGKV1D-13_IGKJ3,,,,,,,,,,,,,10391.3377,,,,,,,,,,16733.58782,,,,,,,
IG c1082_light_IGLV1-44_IGLJ3,,,,,,,,,,,,,,,,,,,,,,,,,,42815.84738,,,,
IG c1088_heavy_IGHV3-15_IGHD2-15_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,55737.69435,,,,
IG c1089_heavy_IGHV3-7_IGHD5-24_IGHJ6,,,,,,,23288.98916,,12903.15672,,,,,,,,,,,,,43757.79888,,,,61981.4437,,,,
IG c108_heavy_IGHV1-2_IGHD7-27_IGHJ4,,,,,,,,,,,,,,,,,,,,,28271.08479,,,,,,,,,
IG c108_light_IGLV1-47_IGLJ3,,,,,28575.28544,,31501.02169,,,,,,,26432.15462,18920.89695,,,,,,,,,,,,,,,
IG c1090_heavy_IGHV3-30_IGHD5-5_IGHJ6,,,,,16548.15197,,,,7175.866274,,,,,24145.96778,16341.96859,,17448.56467,,,,,,,,,,,,,
IG c1092_heavy_IGHV3-33_IGHD6-13_IGHJ4,17843.95117,,,,,,,,,,,,,,,,,,,,,,,,,,45120.99495,,37228.85082,
IG c1099_heavy_IGHV3-74_IGHD3-3_IGHJ6,,,,,,,,,,,,,,,13187.52039,,,,,,,39955.41936,,,,,,,,
IG c10_heavy_IGHV4-34_IGHD3-10_IGHJ5,,,1477.11495,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c10_light_IGKV3-11_IGKJ1,,,,,10653.09657,,9091.385631,,,,,,,,,,,,,,,,,,,,,12076.70582,,
IG c1101_light_IGKV1D-13_IGKJ1,,,,,,,,,,,,,,,,,,,,,,7009.818275,,,,,,,,
IG c1102_heavy_IGHV3-74_IGHD3-22_IGHJ4,,,,,,,36332.60353,13529.94943,,,,,,,,,,,,75309.05214,,,,,,,,,,
IG c1103_heavy_IGHV3-33_IGHD3-10_IGHJ6,,,,,,,,,,664.7034315,,,,,,,,,,,,,,,,,,,,
IG c1109_heavy_IGHV3-30_IGHD5-18_IGHJ4,,,,,,,,,,,,,20844.72563,,,,,,,,,,,,,,,,,
IG c1109_heavy_IGHV5-51_IGHD4-23_IGHJ4,,58153.9349,,,,,,,49989.52435,,,,,,20508.22203,,34135.51889,,,,,208730.4983,,,,,,,,
IG c1110_heavy_IGHV5-51_IGHD6-6_IGHJ4,,,,,,,,,,,,16512.53162,,,,,,,,,,,,,,,,,,
IG c1113_heavy_IGHV1-18_IGHD2-15_IGHJ3,,,,,71530.53306,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1113_light_IGLV3-25_IGLJ1,26367.34277,,,,,,,,,,,19413.50801,,,,,,,,,,,,,17420.32473,,,,,
IG c1118_light_IGLV1-40_IGLJ2,,,,37480.82847,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1122_heavy_IGHV3-13_IGHD2-15_IGHJ6,,,,,,,,,,,,,,,11918.82723,,,,,,,,,,,,,,,
IG c1122_light_IGKV2-28_IGKJ2,,,,,,,,,,,88287.71317,,,,,,,,,,,,,,,,,,,
IG c1125_light_IGKV1D-17_IGKJ1,,,,,,,,,,,,,,,,,,,,,,20508.22203,,,4767.406747,16330.88589,,,,
IG c1126_heavy_IGHV5-51_IGHD3-10_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,85284.1781,,90055.49544,,95819.87829,
IG c1129_light_IGKV4-1_IGKJ3,,,,,,,,,2868.904547,,,,,,,,,,,45991.95,,,,,,,,,,
IG c1133_light_IGKV1D-33_IGKJ5 (IG c436_light_IGKV1D-33_IGKJ5),,,,,,91744.69411,57699.59215,,28925.63016,,,,,,,,,,,,,,,,61884.79099,,215415.9041,,,
IG c1134_light_IGKV3-15_IGKJ1,,,,,,,,1265.131447,,,,,,,,,,,,1479.3,,,,,,,,,,
IG c1142_light_IGKV1-6_IGKJ2,,,,,,,,,,,,,,,,,,,,,28747.40686,,35855.37304,16156.66916,,,,,,
IG c1144_light_IGKV1-5_IGKJ4 (IG c550_light_IGKV1-5_IGKJ4),,,,,,,,,,,,,,,,,9284.819504,,,,,,,,,,,,,
IG c1145_light_IGLV3-21_IGLJ3,,,,,,,,,,,,,,,,,,13951.04823,,,,,,,,,,,,
IG c1146_heavy_IGHV1-69_IGHD6-13_IGHJ4,,,,,,,,,,,,749.0533512,,,,,,,,,,,,,,,,,,
IG c1147_light_IGKV3-20_IGKJ5,,,,,,,,,,53094.13377,,,132101.4779,,,,,,,,,,,,,,,,,
IG c1148_light_IGKV2-30_IGKJ1,,,46826.64323,,,,,,,,,,,,8467.384786,,,,,74969.15,,,,,,,,,101916.1452,
IG c1150_light_IGLV3-25_IGLJ3,7379.047042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1154_light_IGLV3-25_IGLJ2,,,,,49991.86234,,,41831.36564,,,,12054.07393,,,,,,,,,,,86950.45793,,,,,,,
IG c1155_heavy_IGHV1-24_IGHD2-8_IGHJ3,,,,,761.8795319,,,,,,,,,,,,,666.3712401,,,,,,,,,,,,
IG c1155_heavy_IGHV3-7_IGHD5-18_IGHJ2,,,,,,,,,,,,,,,,,,,,41110.41047,,,,,,,40102.10091,,,
IG c1156_light_IGLV6-57_IGLJ2,,,,,,,,,,,,,,,,,,,,,,,,,,5083.683015,,,,
IG c1158_heavy_IGHV3-48_IGHD7-27_IGHJ6,,,15437.47088,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1166_heavy_IGHV3-66_IGHD6-25_IGHJ6,,,,,,,,,,,,,,,,,,98028.25181,,,,,,,,,,,,
IG c1168_heavy_IGHV3-30_IGHD4-23_IGHJ4,,,67355.74844,,,,,,,58720.21925,,,,,,,,,,35707.65,,,,,,,,63362.49689,,
IG c1172_heavy_IGHV3-74_IGHD3-16_IGHJ3,,,,,,,,,,,,,,,,,,,,,50993.54074,,,,79215.79664,,,,,
IG c1173_light_IGKV1-27_IGKJ1 (IG c1854_light_IGKV1-27_IGKJ1),,,135995.4198,,,,,,,,,,,,,,,,173282.6778,,68822.20376,,,,,,227070.4069,,179731.3904,
IG c1174_heavy_IGHV1-18_IGHD4-17_IGHJ4,,,,,,7037.7812,5935.682388,,,,,4738.746837,,,,,,,,,6185.424923,,,2810.161583,,,,,3312.212738,
IG c1175_light_IGKV3-11_IGKJ1,,48724.08971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1178_heavy_IGHV1-69_IGHD5-5_IGHJ4 (IG c1291_heavy_IGHV1-69_IGHD5-18_IGHJ4),136653.0966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1178_light_IGLV2-23_IGLJ1 (IG c1291_light_IGLV2-23_IGLJ1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.7820179
IG c1179_heavy_IGHV3-15_IGHD2-15_IGHJ4,,,,,,,,,,,40278.92985,,,,,,,,,,,,,,,,,,,
IG c1179_light_IGLV3-21_IGLJ3,,,8091.491457,,,,,,,,3289.843353,,2126.289815,,,,,,,4600.09374,,,,,,2316.782159,,,,
IG c1184_heavy_IGHV3-66_IGHD3-22_IGHJ3,,,,,,,,,,,,,,,56123.94335,,,,,,,,,,,,,,,
IG c1184_light_IGKV3-11_IGKJ5,,,,,175505.0438,,,,,,,,,,123712.8537,,,,,,,174284.609,,,,,,,,
IG c1186_light_IGKV3-20_IGKJ2 (IG c699_light_IGKV3-20_IGKJ2) (IG c861_light_IGKV3-20_IGKJ2),,,,,,,,,,,,,,,,,,,,,,10597.76538,,,,,6820.398155,,,
IG c1188_light_IGKV3-20_IGKJ2,,,,,,,194642.1147,,,,,,,,,,235105.5264,94842.54313,,,,,,,,,,,,
IG c1189_heavy_IGHV4-34_IGHD3-10_IGHJ5,,,,,,,,,,,,,,,,,,,,,,,,6138.867559,,,,,,
IG c1189_light_IGKV4-1_IGKJ5 (IG c962_light_IGKV4-1_IGKJ5),,,,,,,,,65385.30445,,110300.4186,,,,,,,,,,,,,,,,,,,
IG c1190_light_IGKV3-20_IGKJ2,,11132.26528,65462.51235,,,48448.0567,18854.87478,,,,,,,,,,5481.349776,75488.66206,,111208.06,,,,34121.28839,63806.66815,96310.39879,,,,
IG c1191_light_IGKV1-33_IGKJ2,15908.2291,,,,,,,,,,,,,,,16404.11808,,,,163313.7203,,,,,,,,,,
IG c1199_light_IGKV3-20_IGKJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,237011.9668,,
IG c1200_light_IGKV1-16_IGKJ4,,,,,,,,,,,,,,,,,112425.6226,,,,,,,,,61769.09402,,,,
IG c1202_heavy_IGHV3-9_IGHD1-7_IGHJ3,,,,14908.31389,,,,,,,,,,,,,,,,18366.88,,,,,,,,,,
IG c1203_heavy_IGHV3-23_IGHD5-12_IGHJ3,20075.55642,,20033.82702,,,,,,,8957.810339,,20081.45131,,,,,,,,17861.87,,,44747.74577,,,,,,,17132.14403
IG c1206_heavy_IGHV3-33_IGHD1-26_IGHJ4,,,,,,11362.0577,,,,,,,,,,,,,,,,,,,,,,,,
IG c1206_light_IGKV3-15_IGKJ4,,,,,,44920.59135,,,,,,,,,,,,,,,,,,,,,,,,
IG c1206_light_IGKV4-1_IGKJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,77418.44378,,,
IG c1208_heavy_IGHV3-30_IGHD3-3_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,26558.44789,,,,,,
IG c120_heavy_IGHV3-49_IGHD2-2_IGHJ3,,,,,,,,,,,,,,,,,,,,,,,,,,,958.0996776,,,
IG c120_light_IGLV6-57_IGLJ2,,8131.577843,,,12263.82787,,18697.55366,17290.16966,13027.90231,7960.089511,,8275.932807,,,4614.464338,26515.76983,17023.70204,,,22722.07859,,8233.235197,,3478.613609,,5083.683015,8328.23732,,,4352.614922
IG c1213_heavy_IGHV1-69_IGHD6-6_IGHJ5,,,,,,,,,,,,,,,,,,,,,,250645.4989,,,,,,,,
IG c1213_light_IGKV3-20_IGKJ2,,,,,,,,,,,,,,,,,,155209.8052,,,,,,,,,215185.828,,,
IG c1215_light_IGLV1-47_IGLJ3 (IG c139_light_IGLV1-47_IGLJ3),,,,,,,,,14349.91817,,,,,,16096.45948,,,,,,,,,,,,,,,
IG c1219_light_IGLV3-25_IGLJ1,26367.34277,,,,,,,,,,,,,,,,,12224.39244,,,,,,,17420.32473,,,,,
IG c121_heavy_IGHV3-74_IGHD6-13_IGHJ4,,,58743.37109,,,,,,,,,45856.71052,,,17157.41462,,26685.52985,,,65612.13,,,78581.67297,29498.6969,33396.32857,57474.79994,62477.54043,,44513.80755,
IG c121_light_IGLV1-44_IGLJ2,,,,,,,,,,,,,,1579.08886,,,,,,,,,,,,,,,,
IG c1220_heavy_IGHV3-33_IGHD3-22_IGHJ4,,,,,,,,12589.24134,,,,,43975.96912,,,,,,,,,,,,,,,,,
IG c1224_heavy_IGHV3-33_IGHD3-22_IGHJ4,,75298.49583,,,,,,,,,,,,,75859.18337,,,,,,,,,,,,,,,
IG c1225_heavy_IGHV3-30_IGHD3-3_IGHJ4,,,,,,102858.0786,,,,,,,,,,,98144.60846,,,,,,,,,,213052.7076,,,
IG c1226_heavy_IGHV3-53_IGHD5-12_IGHJ4,,,,,,,,,,,,,,,,,,,,,,,,,,69062.72071,,,,
IG c1230_heavy_IGHV4-39_IGHD2-2_IGHJ2,,,,,,,,,,,,,,,,,,,,,,18540.82595,,,,,,,,
IG c1234_light_IGKV3-20_IGKJ3,,,,,,,,,,,,,,,,,235149.0274,,,,,,,,,,,,,
IG c1235_heavy_IGHV3-74_IGHD2-8_IGHJ6,,20995.61674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1246_light_IGLV9-49_IGLJ2,,,462.9094476,,,,,,,,,,,,,,,,,583.39,,798.2516215,,,,,,,,
IG c1247_heavy_IGHV1-69_IGHD1-1_IGHJ6,,,3740.229645,,,,,,,,,,,,,1371.198473,,4049.251222,,,,,,,,,,,,1564.296904
IG c1248_light_IGKV3-11_IGKJ3,,,,,38488.96958,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1249_heavy_IGHV3-49_IGHD6-6_IGHJ6,,,,,,12680.13173,,,,,,,,,,,,8972.268316,,,,,,,,,,28556.4671,,
